# Logfile created on 2026-09-17 08:44:12 +0200 by logger.rb/v1.4.3
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : metal5_drw has 172 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442720K) : metal5_pin has 2 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442984K) : metal5_mask has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442984K) : metal5_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442984K) : metal5_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442984K) : metal5_slit has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (442984K) : metal5_text has 93 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443248K) : metal5_opc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443248K) : metal5_noqrc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443248K) : metal5_res has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443248K) : metal5_iprobe has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443248K) : metal5_diffprb has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443512K) : radhard_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443512K) : memcap_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443512K) : varicap_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443512K) : flash_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443512K) : intbondvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443776K) : intbondmet_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443776K) : devbondvia_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443776K) : devbondmet_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (443776K) : devtrench_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : redist_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : graphbot_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : graphtop_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : antvia1_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : antmetal2_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444040K) : graphcont_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444304K) : siwg_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444304K) : siwg_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444304K) : siwg_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444304K) : sigrating_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444568K) : singrating_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444568K) : graphpas_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444568K) : emwind3_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444568K) : emwihv3_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444568K) : redbulay_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444832K) : smos_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444832K) : graphpad_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444832K) : polimide_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444832K) : polimide_pin has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (444832K) : recog_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445096K) : recog_pin has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445096K) : recog_esd has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445096K) : recog_diode has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445096K) : recog_tsv has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445360K) : recog_iprobe has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445360K) : recog_diffprb has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445360K) : recog_pillar has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445360K) : recog_sbump has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445360K) : recog_otp has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445624K) : recog_pdiode has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445624K) : recog_mom has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445624K) : recog_momf has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445624K) : recog_pcm has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445624K) : colopen_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445888K) : graphmetal1_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445888K) : graphmetal1_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445888K) : graphmetal1_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445888K) : graphmetal1_slit has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (445888K) : graphmetal1_opc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446152K) : graphmet1l_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446152K) : graphmet1l_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446152K) : graphmet1l_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446152K) : graphmet1l_slit has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446152K) : graphmet1l_opc has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446416K) : extblock_drw has 48 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446416K) : nldd_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446416K) : pldd_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446416K) : next_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446416K) : pext_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446680K) : nexthv_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446680K) : pexthv_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446680K) : graphgate_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446680K) : sinwg_drw has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446944K) : sinwg_filler has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446944K) : sinwg_nofill has 0 polygons
2026-09-17 08:44:13 +0200: Memory Usage (446944K) : mempad_drw has 0 polygons
